"","Group.1","Group.2","x"
"1","Hong Kong","01/22/2020",0
"2","Japan","01/22/2020",2
"3","Macau","01/22/2020",1
"4","Mainland China","01/22/2020",547
"5","South Korea","01/22/2020",1
"6","Taiwan","01/22/2020",1
"7","Thailand","01/22/2020",2
"8","US","01/22/2020",1
"9","Australia","01/23/2020",0
"10","Brazil","01/23/2020",0
"11","Colombia","01/23/2020",0
"12","Hong Kong","01/23/2020",2
"13","Japan","01/23/2020",1
"14","Macau","01/23/2020",2
"15","Mainland China","01/23/2020",639
"16","Malaysia","01/23/2020",0
"17","Mexico","01/23/2020",0
"18","Philippines","01/23/2020",0
"19","Singapore","01/23/2020",1
"20","South Korea","01/23/2020",1
"21","Taiwan","01/23/2020",1
"22","Thailand","01/23/2020",3
"23","US","01/23/2020",1
"24","Vietnam","01/23/2020",2
"25","France","01/24/2020",2
"26","Hong Kong","01/24/2020",2
"27","Japan","01/24/2020",2
"28","Macau","01/24/2020",2
"29","Mainland China","01/24/2020",916
"30","Singapore","01/24/2020",3
"31","South Korea","01/24/2020",2
"32","Taiwan","01/24/2020",3
"33","Thailand","01/24/2020",5
"34","US","01/24/2020",2
"35","Vietnam","01/24/2020",2
"36","Australia","01/25/2020",4
"37","France","01/25/2020",3
"38","Hong Kong","01/25/2020",5
"39","Japan","01/25/2020",2
"40","Macau","01/25/2020",2
"41","Mainland China","01/25/2020",1399
"42","Malaysia","01/25/2020",3
"43","Nepal","01/25/2020",1
"44","Singapore","01/25/2020",3
"45","South Korea","01/25/2020",2
"46","Taiwan","01/25/2020",3
"47","Thailand","01/25/2020",7
"48","US","01/25/2020",2
"49","Vietnam","01/25/2020",2
"50","Australia","01/26/2020",4
"51","Canada","01/26/2020",1
"52","France","01/26/2020",3
"53","Hong Kong","01/26/2020",8
"54","Japan","01/26/2020",4
"55","Macau","01/26/2020",5
"56","Mainland China","01/26/2020",2062
"57","Malaysia","01/26/2020",4
"58","Nepal","01/26/2020",1
"59","Singapore","01/26/2020",4
"60","South Korea","01/26/2020",3
"61","Taiwan","01/26/2020",4
"62","Thailand","01/26/2020",8
"63","US","01/26/2020",5
"64","Vietnam","01/26/2020",2
"65","Australia","01/27/2020",5
"66","Cambodia","01/27/2020",1
"67","Canada","01/27/2020",1
"68","France","01/27/2020",3
"69","Hong Kong","01/27/2020",8
"70","Ivory Coast","01/27/2020",1
"71","Japan","01/27/2020",4
"72","Macau","01/27/2020",6
"73","Mainland China","01/27/2020",2863
"74","Malaysia","01/27/2020",4
"75","Nepal","01/27/2020",1
"76","Singapore","01/27/2020",5
"77","South Korea","01/27/2020",4
"78","Sri Lanka","01/27/2020",1
"79","Taiwan","01/27/2020",5
"80","Thailand","01/27/2020",8
"81","US","01/27/2020",5
"82","Vietnam","01/27/2020",2
"83","Australia","01/28/2020",5
"84","Cambodia","01/28/2020",1
"85","Canada","01/28/2020",2
"86","France","01/28/2020",4
"87","Germany","01/28/2020",4
"88","Hong Kong","01/28/2020",8
"89","Japan","01/28/2020",7
"90","Macau","01/28/2020",7
"91","Mainland China","01/28/2020",5494
"92","Malaysia","01/28/2020",4
"93","Nepal","01/28/2020",1
"94","Singapore","01/28/2020",7
"95","South Korea","01/28/2020",4
"96","Sri Lanka","01/28/2020",1
"97","Taiwan","01/28/2020",8
"98","Thailand","01/28/2020",14
"99","US","01/28/2020",5
"100","Vietnam","01/28/2020",2
"101","Australia","01/29/2020",5
"102","Cambodia","01/29/2020",1
"103","Canada","01/29/2020",2
"104","Finland","01/29/2020",1
"105","France","01/29/2020",5
"106","Germany","01/29/2020",4
"107","Hong Kong","01/29/2020",10
"108","Japan","01/29/2020",7
"109","Macau","01/29/2020",7
"110","Mainland China","01/29/2020",6070
"111","Malaysia","01/29/2020",7
"112","Nepal","01/29/2020",1
"113","Singapore","01/29/2020",7
"114","South Korea","01/29/2020",4
"115","Sri Lanka","01/29/2020",1
"116","Taiwan","01/29/2020",8
"117","Thailand","01/29/2020",14
"118","United Arab Emirates","01/29/2020",4
"119","US","01/29/2020",5
"120","Vietnam","01/29/2020",2
"121","Australia","01/30/2020",9
"122","Cambodia","01/30/2020",1
"123","Canada","01/30/2020",3
"124","Finland","01/30/2020",1
"125","France","01/30/2020",5
"126","Germany","01/30/2020",4
"127","Hong Kong","01/30/2020",10
"128","India","01/30/2020",1
"129","Japan","01/30/2020",11
"130","Macau","01/30/2020",7
"131","Mainland China","01/30/2020",8124
"132","Malaysia","01/30/2020",8
"133","Nepal","01/30/2020",1
"134","Philippines","01/30/2020",1
"135","Singapore","01/30/2020",10
"136","South Korea","01/30/2020",4
"137","Sri Lanka","01/30/2020",1
"138","Taiwan","01/30/2020",9
"139","Thailand","01/30/2020",14
"140","United Arab Emirates","01/30/2020",4
"141","US","01/30/2020",5
"142","Vietnam","01/30/2020",2
"143","Australia","01/31/2020",9
"144","Cambodia","01/31/2020",1
"145","Canada","01/31/2020",3
"146","Finland","01/31/2020",1
"147","France","01/31/2020",5
"148","Germany","01/31/2020",5
"149","Hong Kong","01/31/2020",12
"150","India","01/31/2020",1
"151","Italy","01/31/2020",2
"152","Japan","01/31/2020",15
"153","Macau","01/31/2020",7
"154","Mainland China","01/31/2020",9783
"155","Malaysia","01/31/2020",8
"156","Nepal","01/31/2020",1
"157","Philippines","01/31/2020",1
"158","Russia","01/31/2020",2
"159","Singapore","01/31/2020",13
"160","South Korea","01/31/2020",11
"161","Sri Lanka","01/31/2020",1
"162","Sweden","01/31/2020",1
"163","Taiwan","01/31/2020",10
"164","Thailand","01/31/2020",19
"165","UK","01/31/2020",2
"166","United Arab Emirates","01/31/2020",4
"167","US","01/31/2020",6
"168","Vietnam","01/31/2020",2
"169","Australia","02/01/2020",12
"170","Cambodia","02/01/2020",1
"171","Canada","02/01/2020",4
"172","Finland","02/01/2020",1
"173","France","02/01/2020",6
"174","Germany","02/01/2020",8
"175","Hong Kong","02/01/2020",13
"176","India","02/01/2020",1
"177","Italy","02/01/2020",2
"178","Japan","02/01/2020",20
"179","Macau","02/01/2020",7
"180","Mainland China","02/01/2020",11871
"181","Malaysia","02/01/2020",8
"182","Nepal","02/01/2020",1
"183","Philippines","02/01/2020",1
"184","Russia","02/01/2020",2
"185","Singapore","02/01/2020",16
"186","South Korea","02/01/2020",12
"187","Spain","02/01/2020",1
"188","Sri Lanka","02/01/2020",1
"189","Sweden","02/01/2020",1
"190","Taiwan","02/01/2020",10
"191","Thailand","02/01/2020",19
"192","UK","02/01/2020",2
"193","United Arab Emirates","02/01/2020",4
"194","US","02/01/2020",8
"195","Vietnam","02/01/2020",6
"196","Australia","02/02/2020",12
"197","Cambodia","02/02/2020",1
"198","Canada","02/02/2020",4
"199","Finland","02/02/2020",1
"200","France","02/02/2020",6
"201","Germany","02/02/2020",10
"202","Hong Kong","02/02/2020",15
"203","India","02/02/2020",2
"204","Italy","02/02/2020",2
"205","Japan","02/02/2020",20
"206","Macau","02/02/2020",8
"207","Mainland China","02/02/2020",16607
"208","Malaysia","02/02/2020",8
"209","Nepal","02/02/2020",1
"210","Philippines","02/02/2020",2
"211","Russia","02/02/2020",2
"212","Singapore","02/02/2020",18
"213","South Korea","02/02/2020",15
"214","Spain","02/02/2020",1
